"B","TT","UU","VV","YY","AAA","DDD","EEE","HHH","LLL","Workplace_Culture","Employee_Comfort_w/_MH_@_Workplace","Employee_Comfort_w/_MH"
"More than 1000","I don't know","No","No","No","True",">45","F","United States of America","Never","8","0","0"
"More than 1000","No","Yes","Yes","No","False","<25","M","United States of America","Never","8","0","1"
"More than 1000","No","No","No","No","False","36-45","M","Netherlands","Never","4","0","0"
"More than 1000","No","No","No","No","False","25-35","F","Netherlands","Sometimes","3","1","0"
"More than 1000","I don't know","No","Maybe","No","False","36-45","M","United Kingdom","Never","5","0","0"
"More than 1000","No","No","Maybe","No","False","36-45","M","Germany","Sometimes","5","0","0"
"26-100","No","No","Maybe","No","False","<25","M","Germany","Never","2","1","1"
"100-500","No","No","No","No","False","25-35","M","United States of America","Always","3","1","1"
"6-25","I don't know","Maybe","No","No","True","36-45","M","United States of America","Always","3","0","1"
"More than 1000","I don't know","Maybe","Maybe","No","False","36-45","M","United States of America","Sometimes","5","0","0"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","3","2","0"
"26-100","No","No","No","No","False","<25","M","United States of America","Sometimes","5","0","1"
"26-100","Yes","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","5","0","1"
"26-100","Yes","Yes","Yes","Yes","True",">45","F","United States of America","Always","3","1","1"
"6-25","No","No","No","No","False","25-35","M","United Kingdom","Sometimes","5","3","1"
"100-500","Yes","Maybe","Yes","Yes","True","25-35","M","United States of America","Always","4","5","1"
"6-25","I don't know","Maybe","No","No","False","36-45","M","United Kingdom","Sometimes","4","4","1"
"100-500","No","No","No","No","False","36-45","M","United Kingdom","Never","3","1","1"
"1-5","No","Yes","Maybe","Yes","True","25-35","F","Netherlands","Sometimes","4","4","1"
"500-1000","Yes","No","No","No","True","<25","M","Netherlands","Never","4","3","0"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Never","4","0","1"
"1-5","No","No","No","No","False","25-35","M","Denmark","Sometimes","3","3","1"
"100-500","I don't know","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","8","5","1"
"100-500","Yes","Maybe","No","No","True","25-35","F","United States of America","Never","7","3","0"
"More than 1000","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","4","4","1"
"500-1000","No","Yes","Maybe","Yes","True","36-45","M","United States of America","Sometimes","3","0","1"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","5","0","1"
"26-100","Yes","No","No","No","False","25-35","M","Germany","Sometimes","3","2","0"
"More than 1000","No","Yes","Yes","Yes","True",">45","F","United States of America","Sometimes","3","2","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","United Kingdom","Never","3","2","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","Sweden","Sometimes","3","1","1"
"500-1000","Yes","Yes","No","Yes","True","25-35","M","United States of America","Sometimes","9","1","0"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","0","0"
"100-500","Yes","Yes","Maybe","No","True","25-35","F","United States of America","Always","5","1","1"
"26-100","No","No","No","No","False","25-35","M","United Kingdom","Always","4","5","2"
"500-1000","No","Maybe","Maybe","No","False","<25","M","Russia","Sometimes","4","3","1"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","5","4","2"
"100-500","No","Yes","Maybe","No","True","25-35","M","United States of America","Always","1","1","1"
"6-25","No","No","No","No","False","<25","M","United Kingdom","Sometimes","2","3","0"
"500-1000","Yes","Maybe","No","No","True","25-35","M","Sweden","Always","4","1","1"
"26-100","No","Yes","Yes","Yes","True","25-35","M","United States of America","Always","2","2","1"
"6-25","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","3","0","1"
"100-500","No","No","No","No","False","36-45","M","United Kingdom","Always","5","2","0"
"500-1000","No","No","No","No","False","25-35","M","Germany","Sometimes","4","1","1"
"100-500","Yes","Yes","No","Yes","True","36-45","M","United States of America","Always","6","4","0"
"1-5","Yes","Yes","Yes","Yes","True","25-35","F","United Kingdom","Sometimes","3","3","1"
"100-500","No","Maybe","Maybe","No","True","36-45","M","Russia","Sometimes","2","1","0"
"500-1000","No","No","No","No","False","25-35","M","Russia","Sometimes","3","1","0"
"6-25","No","No","No","No","False","25-35","M","United States of America","Always","2","1","0"
"500-1000","No","No","No","No","False","<25","M","United States of America","Sometimes","2","0","0"
"26-100","No","No","No","No","False","<25","M","Belgium","Sometimes","3","1","1"
"500-1000","No","No","No","No","False","<25","M","Russia","Never","3","2","1"
"More than 1000","No","Yes","Yes","No","True","<25","M","Russia","Sometimes","3","1","1"
"26-100","I don't know","Yes","Yes","Yes","False","25-35","M","Denmark","Never","7","5","2"
"26-100","Yes","No","No","No","False","36-45","M","Canada","Sometimes","2","0","1"
"100-500","No","No","No","No","False","25-35","M","United States of America","Never","3","3","1"
"6-25","Yes","Yes","No","Yes","True","25-35","F","Spain","Sometimes","5","3","0"
"100-500","I don't know","No","No","No","False","25-35","M","United Kingdom","Always","6","3","1"
"500-1000","Yes","Maybe","No","No","True","25-35","F","United States of America","Always","4","0","0"
"26-100","Yes","Yes","No","Yes","False","25-35","M","France","Sometimes","1","0","0"
"26-100","No","No","No","No","False","25-35","M","India","Always","3","1","0"
"26-100","I don't know","Yes","Maybe","No","False","25-35","M","United States of America","Sometimes","5","2","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Never","4","0","1"
"26-100","I don't know","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","3","0","0"
"More than 1000","Yes","Yes","No","No","True","25-35","M","United States of America","Never","7","2","2"
"500-1000","No","No","No","No","False","25-35","M","Germany","Sometimes","4","3","0"
"500-1000","Yes","No","No","No","False","36-45","F","United States of America","Always","7","4","1"
"More than 1000","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","6","0","1"
"26-100","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","8","4","2"
"100-500","No","No","No","No","False","25-35","M","Russia","Never","2","0","1"
"100-500","No","No","No","No","False","25-35","M","Germany","Sometimes","3","0","2"
"100-500","I don't know","Maybe","Maybe","No","True","25-35","M","Germany","Never","4","0","1"
"6-25","No","Yes","No","No","True","25-35","M","United States of America","Sometimes","3","2","1"
"500-1000","I don't know","No","No","No","False","25-35","M","Germany","Always","3","1","1"
"6-25","I don't know","Maybe","Maybe","Yes","True","36-45","F","United States of America","Sometimes","4","0","0"
"More than 1000","No","Yes","Yes","Yes","True","36-45","M","United Kingdom","Sometimes","5","1","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Always","3","3","1"
"More than 1000","No","Maybe","No","No","False","36-45","M","United States of America","Never","1","0","0"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","4","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","F","United Arab Emirates","Sometimes","7","0","1"
"500-1000","I don't know","Yes","Yes","Yes","True","36-45","F","Canada","Always","2","0","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","7","3","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","5","0","0"
"1-5","Yes","No","No","No","False","36-45","M","Mexico","Sometimes","5","4","1"
"26-100","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Never","6","1","1"
"26-100","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","2","1"
"500-1000","Yes","Maybe","Maybe","Yes","True","36-45","F","United States of America","Sometimes","5","0","0"
"26-100","Yes","Yes","Maybe","No","True","25-35","M","United States of America","Sometimes","6","5","1"
"26-100","Yes","Yes","Yes","Yes","True","<25","M","United States of America","Sometimes","7","5","1"
"26-100","No","No","No","No","False","25-35","F","United States of America","Sometimes","6","2","1"
"More than 1000","No","No","No","No","True","36-45","M","Canada","Sometimes","6","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","5","1","1"
"100-500","No","Maybe","Maybe","No","False","25-35","M","United States of America","Always","6","0","1"
"26-100","No","Maybe","No","No","False","36-45","M","United Kingdom","Never","2","0","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","4","1","1"
"26-100","Yes","No","No","No","True","25-35","F","United States of America","Sometimes","8","4","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","F","United Kingdom","Sometimes","0","1","0"
"26-100","No","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","6","0","0"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","Germany","Always","4","2","0"
"26-100","Yes","Yes","No","No","True","36-45","M","United States of America","Sometimes","8","4","2"
"More than 1000","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","7","4","1"
"26-100","I don't know","No","No","No","False","36-45","M","United States of America","Never","5","2","0"
"500-1000","I don't know","Maybe","Yes","Yes","True","<25","M","United States of America","Never","3","0","1"
"100-500","I don't know","Maybe","Maybe","No","True","36-45","M","United States of America","Never","2","0","0"
"More than 1000","No","No","Yes","Yes","True","25-35","M","United States of America","Always","4","4","1"
"26-100","Yes","No","No","No","False","25-35","F","United States of America","Sometimes","5","0","1"
"More than 1000","Yes","Maybe","No","No","True","25-35","M","United States of America","Always","4","1","0"
"100-500","No","Yes","No","Yes","True","25-35","M","United States of America","Sometimes","4","3","0"
"6-25","Yes","Yes","Maybe","Yes","True","<25","F","United States of America","Never","4","0","1"
"100-500","I don't know","Yes","Yes","Yes","True","36-45","M","Australia","Sometimes","3","0","0"
"100-500","Yes","Yes","Yes","No","False","25-35","M","United States of America","Never","2","0","0"
"100-500","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Always","3","0","1"
"500-1000","I don't know","No","No","No","False","25-35","M","United States of America","Sometimes","4","2","2"
"6-25","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","1","0","1"
"500-1000","Yes","No","No","No","False","25-35","M","Germany","Sometimes","3","1","0"
"6-25","No","No","No","No","False","25-35","M","Netherlands","Never","0","0","0"
"26-100","I don't know","Yes","Maybe","Yes","True","25-35","O","United Kingdom","Sometimes","1","2","0"
"26-100","Yes","Maybe","Maybe","No","False","25-35","M","United Kingdom","Never","4","3","1"
"100-500","Yes","Yes","Maybe","Yes","True","36-45","F","United States of America","Sometimes","2","0","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United Kingdom","Sometimes","3","3","1"
"More than 1000","Yes","Yes","Yes","Yes","True",">45","F","Australia","Sometimes","5","1","1"
"100-500","Yes","Maybe","No","Yes","True","25-35","F","Switzerland","Sometimes","6","4","2"
"More than 1000","No","No","No","No","False","<25","M","United Kingdom","Sometimes","2","1","0"
"6-25","I don't know","Yes","Maybe","No","True","25-35","F","United Kingdom","Never","1","3","0"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","M","United Kingdom","Always","7","3","1"
"More than 1000","Yes","Yes","Yes","Yes","True","<25","O","United Kingdom","Sometimes","3","4","1"
"1-5","No","Maybe","No","Yes","False",">45","M","Australia","Sometimes","0","0","0"
"100-500","No","No","No","No","False","36-45","M","United States of America","Always","2","0","0"
"1-5","Yes","Yes","No","Yes","True","<25","M","United Kingdom","Never","3","1","0"
"500-1000","No","No","No","No","False","25-35","F","Russia","Sometimes","3","1","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","F","United Kingdom","Never","4","0","1"
"100-500","No","No","No","No","False","25-35","M","United Kingdom","Sometimes","5","1","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","3","1","0"
"26-100","No","No","No","No","False","25-35","M","Norway","Sometimes","6","2","1"
"26-100","No","No","No","No","False","36-45","M","United States of America","Sometimes","3","4","1"
"26-100","Yes","Yes","No","Yes","True",">45","M","United States of America","Sometimes","3","0","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","3","1"
"100-500","Yes","Yes","No","Yes","True",">45","M","United States of America","Never","4","1","1"
"6-25","No","No","No","No","True","25-35","F","Canada","Never","1","0","1"
"26-100","Yes","No","Yes","Yes","True","<25","F","Canada","Never","5","3","1"
"6-25","Yes","Yes","Yes","Yes","True","36-45","F","Canada","Sometimes","4","2","1"
"6-25","Yes","Maybe","No","No","False","25-35","F","Canada","Sometimes","5","4","1"
"26-100","Yes","Maybe","Maybe","No","False","25-35","F","Canada","Never","1","1","0"
"6-25","No","No","No","No","False",">45","F","Canada","Sometimes","7","2","1"
"6-25","No","Yes","Yes","Yes","True","25-35","M","Canada","Never","4","1","1"
"100-500","Yes","No","No","No","True","25-35","M","Argentina","Always","2","0","0"
"26-100","Yes","No","No","No","False","<25","M","India","Never","1","0","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","2","1","1"
"26-100","I don't know","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","4","3","0"
"26-100","I don't know","Maybe","Maybe","No","True","25-35","M","Canada","Never","3","0","0"
"500-1000","Yes","Maybe","Maybe","No","True","25-35","M","United Kingdom","Always","8","1","1"
"6-25","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Always","4","3","1"
"More than 1000","Yes","Maybe","Maybe","No","False","36-45","M","United States of America","Always","3","3","1"
"26-100","No","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","7","5","1"
"26-100","Yes","Yes","Yes","Yes","False","25-35","F","United States of America","Sometimes","7","4","1"
"1-5","No","Yes","Yes","Yes","True","25-35","M","Netherlands","Sometimes","6","5","1"
"26-100","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","2","1","2"
"6-25","No","Maybe","No","No","False","25-35","M","Ireland","Never","3","5","1"
"100-500","No","No","Maybe","No","True","25-35","M","Germany","Never","3","3","0"
"100-500","Yes","No","No","No","False","25-35","F","United States of America","Always","7","3","2"
"More than 1000","I don't know","Yes","Yes","Yes","True","36-45","F","United States of America","Always","1","1","0"
"More than 1000","I don't know","No","Maybe","No","False","<25","M","Italy","Never","2","0","1"
"6-25","I don't know","No","No","No","False","36-45","M","United States of America","Never","3","1","1"
"26-100","Yes","No","No","No","False","25-35","F","United States of America","Sometimes","4","5","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","3","1"
"500-1000","No","No","Maybe","No","False","36-45","M","United States of America","Always","2","0","0"
"100-500","No","No","No","No","False","<25","M","Germany","Never","2","0","0"
"1-5","I don't know","Maybe","No","No","True",">45","M","United States of America","Never","3","2","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","2","4","1"
"100-500","No","No","No","No","False","36-45","M","United States of America","Always","3","0","0"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","8","3","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Never","3","0","1"
"100-500","Yes","Yes","Maybe","No","True","25-35","M","United States of America","Always","2","0","0"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Always","3","2","1"
"100-500","No","No","No","No","False","36-45","M","United States of America","Sometimes","1","0","0"
"100-500","Yes","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","3","3","1"
"100-500","No","No","No","No","False","36-45","M","United States of America","Always","9","4","2"
"100-500","No","Yes","No","No","False","25-35","F","United States of America","Always","6","3","0"
"6-25","Yes","No","No","No","False","25-35","M","United Kingdom","Sometimes","2","1","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","4","1","2"
"6-25","No","Yes","No","Yes","True","25-35","M","United States of America","Sometimes","5","1","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Always","3","4","1"
"500-1000","No","Maybe","No","No","False","25-35","F","United States of America","Sometimes","6","1","0"
"6-25","No","No","No","No","False","36-45","M","Canada","Sometimes","4","3","2"
"26-100","Yes","No","No","No","False","25-35","M","Canada","Always","3","0","0"
"500-1000","No","Maybe","No","No","False","<25","F","Russia","Sometimes","4","1","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","7","0","1"
"More than 1000","Yes","Maybe","Maybe","No","True","<25","F","Australia","Never","5","1","1"
