"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"26-100","Yes","I am not sure","No","I don't know","Yes","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","Yes","No, I don't think it would","No, I don't think they would","Somewhat not open","Maybe/Not sure","No","No","Yes","Yes","No","False","Not applicable to me","Sometimes","36-45","M","United Kingdom","United Kingdom","Sometimes"
"100-500","No","No","No","Yes","I don't know","Somewhat easy","Maybe","No","No","No","I don't know","Yes","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Never"
"26-100","Yes","I am not sure","No","Yes","Yes","Very easy","No","No","Yes","Maybe","Yes","No","I don't know","Yes","Maybe","Maybe","Somewhat open","Yes, I experienced","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Always"
"100-500","No","Yes","No","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","No","Maybe","Maybe","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","No","Maybe","No","False","Never","Sometimes","25-35","M","United Kingdom","United Kingdom","Never"
"100-500","No","I am not sure","Yes","No","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","M","United Kingdom","United Kingdom","Sometimes"
"More than 1000","Yes","Yes","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Yes","Yes","I don't know","Yes","I don't know","Yes","Maybe","Maybe","Very open","Yes, I observed","No","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Canada","Canada","Always"
"100-500","Yes","I am not sure","No","I don't know","Yes","Somewhat easy","No","No","Maybe","Yes","No","No","Yes, always","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","I don't know","Yes","Yes","No","True","Rarely","Sometimes","36-45","M","United States of America","United States of America","Always"
"More than 1000","Yes","I am not sure","No","No","Yes","Somewhat difficult","Yes","Maybe","Yes","Yes","No","No","I don't know","No","Maybe","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Yes","No","True","Often","Often","45<","F","Netherlands","Netherlands","Never"
"More than 1000","No","I am not sure","No","No","No","Somewhat difficult","Maybe","No","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
"6-25","Yes","Yes","I don't know","Yes","I don't know","Somewhat easy","Maybe","Maybe","Maybe","Maybe","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","No","No","I don't know","I don't know","I don't know","Maybe","No","No","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","No","False","Not applicable to me","Sometimes","36-45","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Maybe","I don't know","No","Yes, always","No","Maybe","Maybe","Somewhat open","No","No Entry","No","Maybe","Yes","Yes","True","Often","Often","36-45","F","United States of America","United States of America","Always"
"26-100","No","No Entry","No","No","I don't know","Somewhat easy","Maybe","Maybe","No","No","I don't know","No","I don't know","No","Yes, it has","Maybe","Neutral","Maybe/Not sure","No","I don't know","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","Australia","Australia","Never"
"6-25","Yes","Yes","No","No","Yes","Very easy","Maybe","Maybe","Yes","Yes","I don't know","No","Yes, always","Yes","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","Yes","I don't know","Somewhat difficult","Maybe","Maybe","Maybe","Yes","Yes","No","Yes, always","No","Maybe","No, I don't think they would","Neutral","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Never","Sometimes","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","Yes","No","No","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Neutral","No","No Entry","No","Maybe","Maybe","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Always"
"More than 1000","Yes","No","Yes","Yes","I don't know","Somewhat difficult","Maybe","Maybe","Yes","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat not open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","Not Applicable","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Maybe","Maybe","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","I don't know","Yes","Somewhat difficult","Maybe","No","Maybe","Yes","No","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat not open","Maybe/Not sure","Maybe","Yes","Maybe","Maybe","No","False","Sometimes","Often","25-35","M","Canada","Canada","Never"
"6-25","Yes","I am not sure","No","No","I don't know","Somewhat difficult","No","No","No","Maybe","I don't know","No","I don't know","No","No, I don't think it would","Maybe","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","36-45","F","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","No","I don't know","Neither easy nor difficult","Maybe","No","Maybe","No","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","Yes","I don't know","Neither easy nor difficult","No","No","Maybe","Yes","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Maybe","I don't know","No","Maybe","No","False","Sometimes","Sometimes","36-45","M","France","France","Sometimes"
"26-100","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Very difficult","Yes","No","No","Maybe","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","No","Yes","Maybe","Yes","True","Rarely","Often","25-35","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","Yes","No","No","I don't know","Somewhat easy","No","No","Yes","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Yes, I observed","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","Yes","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","No","Yes","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Never"
"More than 1000","Yes","I am not sure","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","Maybe","No","No","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Often","Often","25-35","M","United States of America","United States of America","Always"
"100-500","Yes","I am not sure","No","I don't know","Yes","I don't know","Maybe","Maybe","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"26-100","No","Yes","No","I don't know","Yes","Very easy","No","No","No","Yes","Yes","No","I don't know","No","Maybe","Yes, I think they would","Very open","No","No Entry","I don't know","Yes","Maybe","Yes","True","Rarely","Often","25-35","M","Netherlands","Netherlands","Sometimes"
"100-500","Yes","I am not sure","No","I don't know","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","Not Applicable","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Belgium","Belgium","Sometimes"
"6-25","I don't know","No","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not open at all","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","45<","M","United States of America","United States of America","Sometimes"
"1-5","No","No","No","I don't know","I don't know","Very easy","No","No","Yes","Yes","I don't know","No","I don't know","Yes","Maybe","No, I don't think they would","Very open","No","No Entry","No","Yes","No","Yes","True","Not applicable to me","Not applicable to me","36-45","M","Netherlands","Netherlands","Sometimes"
"26-100","Yes","Yes","No","No","Yes","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","36-45","M","United States of America","United States of America","Always"
"26-100","No","No Entry","No","No","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Netherlands","Netherlands","Sometimes"
"6-25","I don't know","I am not sure","No","No","No","Somewhat easy","No","No","Yes","Maybe","Yes","No","No","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","F","Netherlands","Netherlands","Never"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","No","No","No","No","No","Sometimes","No","Maybe","Maybe","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Yes, always","Maybe","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Always"
"1-5","Yes","Yes","No","I don't know","Yes","I don't know","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United Kingdom","United Kingdom","Never"
"1-5","No","No","No","No","I don't know","Very difficult","Maybe","Maybe","No","No","I don't know","Yes","No","No","Maybe","Maybe","Somewhat not open","Yes, I experienced","Yes","Yes","Yes","Yes","No","False","Often","Often","36-45","M","Brazil","Brazil","Never"
"26-100","I don't know","I am not sure","No","I don't know","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","Not Applicable","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","No","No","I don't know","Yes","Maybe","Maybe","Somewhat not open","Yes, I experienced","No Entry","No","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
"26-100","I don't know","No","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","No","Maybe","Maybe","No","False","Not applicable to me","Rarely","36-45","M","Canada","Canada","Never"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","No","No","No","No","No","I don't know","Maybe","Yes, it has","Yes, they do","Neutral","Yes, I experienced","No","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United Kingdom","United Kingdom","Sometimes"
"26-100","I don't know","I am not sure","Yes","Yes","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","Not Applicable","No","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often",">25","F","United States of America","United States of America","Sometimes"
"100-500","No","No Entry","No","No","I don't know","I don't know","Maybe","No","No","No","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No Entry","No Entry","I don't know","Yes","No","Yes","True","Never","Sometimes","25-35","M","Brazil","Brazil","Never"
"More than 1000","Yes","Yes","I don't know","Yes","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","No Entry","Yes","I don't know","I don't know","Neither easy nor difficult","No","No","Maybe","Yes","Yes","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","No","No","Yes","No","False","Rarely","Sometimes","25-35","M","United Kingdom","United Kingdom","Sometimes"
"6-25","No","No Entry","No","No","I don't know","Somewhat difficult","Yes","No","No","Yes","No","Yes","I don't know","Yes","Maybe","Yes, I think they would","Not open at all","Yes, I observed","Yes","No","No","No","No","False","Never","Sometimes",">25","M","Brazil","Brazil","Always"
"6-25","I don't know","I am not sure","No","No","I don't know","Neither easy nor difficult","No","No","Maybe","Yes","I don't know","No","Yes, always","Maybe","Maybe","Maybe","Somewhat open","No Entry","No Entry","No","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","I am not sure","No","I don't know","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","Sometimes","No","No, I don't think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","Very easy","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","F","United States of America","United States of America","Always"
"26-100","I don't know","I am not sure","Yes","I don't know","Yes","I don't know","No","No","No","No","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","45<","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Yes","No","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"500-1000","Yes","No","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","No","I don't know","I don't know","Yes","No","Maybe","Yes","No","No","Not Applicable","No","Yes, I think it would","Maybe","Very open","No","No Entry","I don't know","Yes","Yes","Yes","True","Often","Often",">25","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","I am not sure","No","No","I don't know","Neither easy nor difficult","No","No","Yes","Yes","I don't know","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","I don't know","I don't know","I don't know","Very easy","Maybe","Maybe","No","No","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"26-100","No","I am not sure","No","No","I don't know","Somewhat difficult","Yes","No","Maybe","Maybe","No","Yes","Not Applicable","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Maybe","I don't know","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","Netherlands","Netherlands","Never"
"26-100","Yes","Yes","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","No","No","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","Yes","Yes","Maybe","No","True","Sometimes","Sometimes","36-45","F","United States of America","United States of America","Never"
"More than 1000","Yes","Yes","No","Yes","Yes","I don't know","Maybe","Maybe","Maybe","Maybe","No","No","Yes, always","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","Yes","No","Yes","Yes","True","Sometimes","Sometimes","25-35","F","United States of America","United States of America","Always"
"6-25","Yes","Yes","No","No","Yes","Very easy","No","No","No","Yes","Yes","No","Not Applicable","No","Yes, I think it would","No, I don't think they would","Somewhat not open","No","No Entry","No","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","I don't know","I don't know","Somewhat easy","No","No","Yes","Yes","I don't know","No","I don't know","Yes","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","No Entry","No","No","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Always"
"More than 1000","Yes","I am not sure","No","I don't know","I don't know","Somewhat difficult","Yes","No","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","I don't know","Maybe","Maybe","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","45<","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","No","I don't know","I don't know","No","No","Maybe","Yes","I don't know","No","I don't know","Maybe","No, it has not","Maybe","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Very open","Yes, I observed","No","Yes","Yes","No","Yes","True","Never","Often","36-45","F","United States of America","United States of America","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Often","36-45","F","United States of America","United States of America","Sometimes"
"6-25","Yes","No","No","No","No","Neither easy nor difficult","Maybe","No","No","No","I don't know","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Neutral","Maybe/Not sure","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","I am not sure","No","No","I don't know","Neither easy nor difficult","No","No","Yes","Yes","I don't know","No","Sometimes","Yes","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","No","Maybe","No","False","Rarely","Rarely","25-35","M","United Kingdom","United Kingdom","Sometimes"
