B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
100-500,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,30,F,United States of America,New Jersey,United States of America,New Jersey,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always
100-500,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,No,Maybe,Maybe,Substance Use Disorder|Addictive Disorder,No,N/A,0,Not applicable to me,Sometimes,44,M,Canada,No Entry,Canada,No Entry,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
100-500,1.0,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Sometimes,35,M,United States of America,Georgia,United States of America,Georgia,Designer,Always
100-500,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,52,M,United States of America,Oregon,United States of America,Oregon,Other|Executive Leadership,Sometimes
26-100,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,F,Canada,No Entry,Canada,No Entry,Front-end Developer,Always
500-1000,1.0,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Never
100-500,0.0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,31,M,United States of America,New Jersey,United States of America,New York,Back-end Developer|Front-end Developer,Sometimes
6-25,1.0,No,No Entry,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,26,M,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes
More than 1000,0.0,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United States of America,Indiana,United States of America,Indiana,Other,Never
26-100,1.0,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No Entry,I don't know,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,M,Germany,No Entry,Germany,No Entry,Back-end Developer,Sometimes
1-5,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder",1,Sometimes,Often,33,M,Canada,No Entry,Canada,No Entry,Back-end Developer,Sometimes
100-500,0.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,42,M,Germany,No Entry,Germany,No Entry,Supervisor/Team Lead|Support|Back-end Developer,Never
26-100,0.0,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,1,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,27,M,Netherlands,No Entry,Netherlands,No Entry,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
100-500,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Sometimes,Often,35,M,Germany,No Entry,Germany,No Entry,Back-end Developer,Never
500-1000,0.0,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Sometimes,Often,34,F,United Kingdom,No Entry,United Kingdom,No Entry,Other,Never
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,32,O,United Kingdom,No Entry,United Kingdom,No Entry,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never
100-500,1.0,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,O,Germany,No Entry,Germany,No Entry,Back-end Developer,Never
100-500,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",I don't know,"Yes, they all did",None of them,No,No,"No, I don't think it would","No, they do not",Very open,No,No Entry,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder",1,Often,Sometimes,30,M,United States of America,New York,United States of America,New York,Supervisor/Team Lead|Back-end Developer,Sometimes
More than 1000,1.0,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,Maybe,Somewhat open,No,No Entry,I don't know,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Rarely,Often,31,M,United States of America,Minnesota,United States of America,Minnesota,One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other,Never
26-100,1.0,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Not applicable to me,Sometimes,36,M,United Kingdom,No Entry,United Kingdom,No Entry,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer,Sometimes
100-500,1.0,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,33,M,Germany,No Entry,Germany,No Entry,Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead,Never
26-100,1.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,44,M,United States of America,Washington,United States of America,Washington,Back-end Developer,Always
100-500,1.0,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,0,Never,Sometimes,29,M,United Kingdom,No Entry,United Kingdom,No Entry,Front-end Developer,Never
100-500,1.0,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,29,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Sometimes
More than 1000,1.0,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,44,M,Canada,No Entry,Canada,No Entry,Support|Other,Always
100-500,1.0,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,1,Rarely,Sometimes,40,M,United States of America,Minnesota,United States of America,Minnesota,Other,Always
More than 1000,1.0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Often,Often,46,F,Netherlands,No Entry,Netherlands,No Entry,Supervisor/Team Lead|Other,Never
More than 1000,0.0,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,41,M,United States of America,Georgia,United States of America,Georgia,Back-end Developer,Never
6-25,1.0,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,33,M,United States of America,Kentucky,United States of America,Kentucky,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
6-25,1.0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,No Entry,I don't know,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Sometimes,45,M,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
6-25,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,No,Maybe,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,37,F,United States of America,California,United States of America,California,Supervisor/Team Lead,Always
26-100,1.0,No,No Entry,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Neutral,Maybe/Not sure,No,I don't know,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,M,Australia,No Entry,Australia,No Entry,Executive Leadership,Never
6-25,1.0,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,27,M,United States of America,California,United States of America,California,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes
More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Never,Sometimes,36,M,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
500-1000,0.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,No Entry,No,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,34,M,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin|Back-end Developer,Always
More than 1000,0.0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,No,Maybe,"No, I don't think they would",Somewhat not open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,F,United States of America,Massachusetts,United States of America,Massachusetts,Other,Sometimes
26-100,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,30,M,United States of America,Oregon,United States of America,Oregon,Back-end Developer|Front-end Developer,Never
