B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
100-500,True,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,Yes,Maybe,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United Kingdom,United Kingdom,Sometimes
More than 1000,True,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,Canada,Canada,Always
100-500,True,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,No,True,Rarely,Sometimes,Upper Mid Career,M,United States of America,United States of America,Always
More than 1000,True,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,No,True,Often,Often,Late Career,F,Netherlands,Netherlands,Never
More than 1000,False,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Never
6-25,True,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,True,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,No Entry,I don't know,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Upper Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,True,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,No,Maybe,Yes,Yes,True,Often,Often,Upper Mid Career,F,United States of America,United States of America,Always
26-100,True,No,No Entry,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, it has",Maybe,Neutral,Maybe/Not sure,No,I don't know,Yes,Yes,Yes,True,Sometimes,Often,Upper Mid Career,M,Australia,Australia,Never
6-25,True,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,True,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Never,Sometimes,Upper Mid Career,M,United States of America,United States of America,Sometimes
500-1000,False,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,No Entry,No,Maybe,Maybe,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Always
More than 1000,False,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,True,Some did,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,No,Maybe,"No, I don't think they would",Somewhat not open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Sometimes
26-100,True,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Maybe,Maybe,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Never
100-500,False,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,True,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,Maybe,No,False,Sometimes,Often,Lower Mid Career,M,Canada,Canada,Never
6-25,False,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,No,"No, I don't think it would",Maybe,Somewhat not open,No,No Entry,I don't know,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,F,United States of America,United States of America,Sometimes
100-500,False,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,True,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,I don't know,No,Maybe,No,False,Sometimes,Sometimes,Upper Mid Career,M,France,France,Sometimes
26-100,False,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,True,Rarely,Often,Lower Mid Career,M,United Kingdom,United Kingdom,Never
26-100,True,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,True,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,False,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,True,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United States of America,United States of America,Never
More than 1000,True,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,True,"No, none did","Yes, I was aware of all of them",Some did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,True,Often,Often,Lower Mid Career,M,United States of America,United States of America,Always
100-500,True,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,True,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Never
26-100,False,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Maybe,"Yes, I think they would",Very open,No,No Entry,I don't know,Yes,Maybe,Yes,True,Rarely,Often,Lower Mid Career,M,Netherlands,Netherlands,Sometimes
100-500,True,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Belgium,Belgium,Sometimes
6-25,False,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Late Career,M,United States of America,United States of America,Sometimes
1-5,True,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,No Entry,No,Yes,No,Yes,True,Not applicable to me,Not applicable to me,Upper Mid Career,M,Netherlands,Netherlands,Sometimes
26-100,True,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Upper Mid Career,M,United States of America,United States of America,Always
26-100,True,No,No Entry,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,True,Some did,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,Netherlands,Netherlands,Sometimes
6-25,True,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,True,I don't know,N/A (not currently aware),None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,F,Netherlands,Netherlands,Never
26-100,True,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,True,Some did,I was aware of some,I don't know,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Maybe,Maybe,Neutral,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
